contract_id,vendor_name,contract_value,contract_date,department,procurement_type,location_state,duration_months,classification
IND-CTR-2025-0309,Taneja Aerospace,44.91,21/8/2023,Indian Air Force,Communications,Delhi,20,Small
IND-CTR-2025-0857,BEML Limited,290.4,22/8/2023,Ministry of Defence (MoD),Missiles,Maharashtra,42,Standard
IND-CTR-2023-0880,Bharat Electronics Limited (BEL),34.91,23/8/2023,Indian Navy,IT Services,Maharashtra,26,Small
IND-CTR-2024-1679,DRDO - RCI,99.94,23/8/2023,Indian Army,Vehicles,Telangana,24,Standard
IND-CTR-2025-0910,Mazagon Dock Shipbuilders,46.58,23/8/2023,Indian Air Force,Cybersecurity,Rajasthan,7,Small
IND-CTR-2023-1415,Alpha Design Technologies,426.57,25/8/2023,Indian Coast Guard,Engines,Madhya Pradesh,17,Standard
IND-CTR-2024-0819,Ordnance Factory Board,224.36,25/8/2023,Ministry of Defence (MoD),Radars,Bihar,33,Standard
IND-CTR-2024-1953,Godrej Aerospace,393.18,25/8/2023,Indian Air Force,Artillery,Jharkhand,22,Standard
IND-CTR-2023-1393,Cochin Shipyard Limited,89.23,27/8/2023,Indian Coast Guard,Ammunition,Manipur,10,Standard
IND-CTR-2024-0894,Paras Defence & Space Technologies,1905.15,27/8/2023,Ministry of Home Affairs (CAPF),Aircraft,Uttar Pradesh,49,Major
IND-CTR-2024-1793,Larsen & Toubro Defence,676.1,27/8/2023,Indian Air Force,Artillery,Chhattisgarh,30,Major
IND-CTR-2023-0791,NewSpace Research & Technologies,55.18,28/8/2023,ISRO,Vehicles,Ladakh,27,Standard
IND-CTR-2023-1699,Astra Microwave,227.01,28/8/2023,DRDO,Vehicles,Goa,15,Standard
IND-CTR-2023-0688,Walchandnagar Industries,71.44,29/8/2023,DRDO,Electronics,Meghalaya,18,Standard
IND-CTR-2024-1455,Hindustan Shipyard Limited,16.15,29/8/2023,Indian Air Force,IT Services,Odisha,10,Small
IND-CTR-2025-0339,Hindustan Aeronautics Limited (HAL),141.16,30/8/2023,Ministry of Home Affairs (CAPF),Communications,Manipur,16,Standard
IND-CTR-2025-0414,Garden Reach Shipbuilders & Engineers,386.4,30/8/2023,Ministry of Home Affairs (CAPF),Radars,Assam,25,Standard
IND-CTR-2025-1513,Garden Reach Shipbuilders & Engineers,93.24,31/8/2023,Indian Army,Communications,Nagaland,15,Standard
IND-CTR-2023-1193,Tata Advanced Systems,16.82,2/9/2023,ISRO,IT Services,Jammu & Kashmir,20,Small
IND-CTR-2024-0279,NewSpace Research & Technologies,11.45,2/9/2023,ISRO,Maintenance & MRO,Himachal Pradesh,14,Small
IND-CTR-2025-0639,Saraswat Defence,16.17,2/9/2023,Indian Coast Guard,Drones/UAV,Bihar,12,Small
IND-CTR-2023-0070,Ordnance Factory Board,65.9,3/9/2023,ISRO,Electronics,Maharashtra,16,Standard
IND-CTR-2023-1087,Electronics Corporation of India Limited (ECIL),232.26,3/9/2023,Indian Coast Guard,Missiles,Andhra Pradesh,32,Standard
IND-CTR-2023-1569,Alpha Design Technologies,475.24,3/9/2023,ISRO,Artillery,Andhra Pradesh,43,Standard
IND-CTR-2025-1399,IdeaForge,49.21,3/9/2023,Ministry of Defence (MoD),Electronics,Mizoram,19,Small
IND-CTR-2023-0853,Avantel,5,4/9/2023,Indian Air Force,Drones/UAV,Karnataka,6,Small
IND-CTR-2023-0858,NewSpace Research & Technologies,64.76,4/9/2023,Indian Navy,Communications,Manipur,15,Standard
IND-CTR-2025-0086,Tata Advanced Systems,1500,4/9/2023,Indian Navy,Artillery,Madhya Pradesh,22,Major
IND-CTR-2025-0575,Astra Microwave,693.76,5/9/2023,Ministry of Defence (MoD),Helicopters,Nagaland,25,Major
IND-CTR-2025-1263,BEML Limited,21.62,5/9/2023,Indian Air Force,Maintenance & MRO,Sikkim,12,Small
IND-CTR-2024-1712,Bharat Dynamics Limited (BDL),345.15,6/9/2023,Indian Navy,Artillery,Chhattisgarh,25,Standard
IND-CTR-2024-1002,Garden Reach Shipbuilders & Engineers,400.75,7/9/2023,Indian Army,Missiles,Odisha,32,Standard
IND-CTR-2023-1362,Hindustan Shipyard Limited,17.64,8/9/2023,Indian Coast Guard,Communications,Kerala,16,Small
IND-CTR-2025-0278,Bharat Forge Defence,43.75,8/9/2023,Indian Navy,Training & Simulation,Jharkhand,15,Small
IND-CTR-2025-1047,Tata Power SED,10,8/9/2023,Ministry of Home Affairs (CAPF),Electronics,Mizoram,26,Small
IND-CTR-2024-0014,VEM Technologies,554.48,9/9/2023,DRDO,Artillery,Bihar,22,Major
IND-CTR-2024-1444,VEM Technologies,3211.63,9/9/2023,Indian Air Force,Aircraft,Tamil Nadu,42,Major
IND-CTR-2025-1428,Godrej Aerospace,166.72,9/9/2023,Indian Air Force,Vehicles,Meghalaya,19,Standard
IND-CTR-2024-0445,Kalyani Strategic Systems,302.24,10/9/2023,Indian Coast Guard,Artillery,Madhya Pradesh,39,Standard
IND-CTR-2024-1706,Tata Power SED,3.77,11/9/2023,Ministry of Home Affairs (CAPF),Maintenance & MRO,Meghalaya,11,Small
IND-CTR-2025-0452,Mahindra Defence Systems,90.86,11/9/2023,Ministry of Home Affairs (CAPF),Communications,Tamil Nadu,19,Standard
IND-CTR-2023-1489,Hindustan Aeronautics Limited (HAL),8727.88,12/9/2023,Indian Army,Submarines,Bihar,70,Major
IND-CTR-2024-0592,Data Patterns,56.22,12/9/2023,Indian Coast Guard,Training & Simulation,Goa,8,Standard
IND-CTR-2024-1371,Aequs Aerospace,233.02,12/9/2023,DRDO,Vehicles,Jammu & Kashmir,24,Standard
IND-CTR-2024-1375,BEML Limited,49.09,12/9/2023,Indian Coast Guard,Communications,Assam,17,Small
IND-CTR-2025-0242,Alpha Design Technologies,31.11,13/9/2023,Indian Army,Vehicles,Meghalaya,23,Small
IND-CTR-2024-0670,Alpha Design Technologies,2780.95,14/9/2023,Indian Army,Submarines,Madhya Pradesh,97,Major
IND-CTR-2025-1452,Godrej Aerospace,280.27,16/9/2023,Ministry of Home Affairs (CAPF),Engines,Arunachal Pradesh,26,Standard
IND-CTR-2024-1537,Kalyani Strategic Systems,212.31,17/9/2023,ISRO,Vehicles,Maharashtra,24,Standard
IND-CTR-2025-0520,Avantel,64.05,17/9/2023,Ministry of Defence (MoD),Drones/UAV,Tripura,14,Standard
IND-CTR-2025-1138,Sika Interplant,1501.08,17/9/2023,Indian Air Force,Aircraft,Ladakh,46,Major
IND-CTR-2023-1648,NewSpace Research & Technologies,78.59,19/9/2023,Indian Air Force,Vehicles,Uttar Pradesh,19,Standard
IND-CTR-2024-1056,Saraswat Defence,268.26,19/9/2023,ISRO,Artillery,Gujarat,37,Standard
IND-CTR-2025-0820,Sika Interplant,1331.65,19/9/2023,Indian Navy,Helicopters,Bihar,55,Major
IND-CTR-2025-0047,Ananth Technologies,244.95,20/9/2023,ISRO,Communications,Ladakh,20,Standard
IND-CTR-2025-0903,Hindustan Aeronautics Limited (HAL),143.38,21/9/2023,Indian Army,Radars,Manipur,27,Standard
IND-CTR-2025-1556,Bharat Dynamics Limited (BDL),31.78,21/9/2023,DRDO,Vehicles,Madhya Pradesh,29,Small
IND-CTR-2023-0251,Aequs Aerospace,47.53,25/9/2023,Indian Army,IT Services,Jammu & Kashmir,21,Small
IND-CTR-2023-0556,DRDO - LRDE,137.27,25/9/2023,DRDO,Communications,Karnataka,18,Standard
IND-CTR-2023-0559,Tata Advanced Systems,25.53,25/9/2023,ISRO,Maintenance & MRO,Gujarat,10,Small
IND-CTR-2025-1854,Kalyani Strategic Systems,70.83,25/9/2023,Indian Coast Guard,IT Services,Gujarat,28,Standard
IND-CTR-2025-0988,Hindustan Aeronautics Limited (HAL),193.81,26/9/2023,ISRO,Vehicles,Manipur,13,Standard
IND-CTR-2023-1291,Saraswat Defence,3803.21,27/9/2023,Indian Army,Submarines,Nagaland,87,Major
IND-CTR-2024-1777,Cochin Shipyard Limited,47.31,27/9/2023,Ministry of Home Affairs (CAPF),Electronics,Haryana,24,Small
IND-CTR-2024-1634,Aequs Aerospace,32.37,28/9/2023,Ministry of Home Affairs (CAPF),IT Services,Meghalaya,21,Small
IND-CTR-2025-1332,Garden Reach Shipbuilders & Engineers,11.22,28/9/2023,Indian Coast Guard,Maintenance & MRO,Punjab,10,Small
IND-CTR-2025-1496,Paras Defence & Space Technologies,22.5,28/9/2023,Ministry of Defence (MoD),Maintenance & MRO,Sikkim,16,Small
IND-CTR-2024-0511,Sika Interplant,45.33,30/9/2023,Indian Coast Guard,Electronics,Telangana,19,Small
IND-CTR-2025-0985,Walchandnagar Industries,139.23,30/9/2023,DRDO,Vehicles,Rajasthan,25,Standard
IND-CTR-2024-1827,Garden Reach Shipbuilders & Engineers,6.5,2/10/2023,Ministry of Defence (MoD),Cybersecurity,Arunachal Pradesh,17,Small
IND-CTR-2025-1557,Bharat Forge Defence,447.61,2/10/2023,DRDO,Engines,Chhattisgarh,26,Standard
IND-CTR-2023-0056,Alpha Design Technologies,54.09,4/10/2023,Ministry of Defence (MoD),Communications,Delhi,14,Standard
IND-CTR-2023-0478,Paras Defence & Space Technologies,433.94,4/10/2023,DRDO,Engines,Nagaland,25,Standard
IND-CTR-2025-1985,Kalyani Strategic Systems,548.21,4/10/2023,Indian Navy,Aircraft,Chhattisgarh,56,Major
IND-CTR-2025-0497,Paras Defence & Space Technologies,174.46,5/10/2023,ISRO,Radars,West Bengal,32,Standard
IND-CTR-2024-0431,Astra Microwave,5.98,6/10/2023,ISRO,IT Services,Gujarat,17,Small
IND-CTR-2025-1427,Ananth Technologies,81.12,6/10/2023,Indian Coast Guard,Electronics,Bihar,17,Standard
IND-CTR-2024-1094,BEML Limited,12.39,7/10/2023,Ministry of Home Affairs (CAPF),Maintenance & MRO,Haryana,12,Small
IND-CTR-2025-0763,Cochin Shipyard Limited,10,7/10/2023,DRDO,Ammunition,Punjab,14,Small
IND-CTR-2023-0155,DRDO - LRDE,3130.92,8/10/2023,ISRO,Aircraft,Punjab,60,Major
IND-CTR-2024-1049,Astra Microwave,62.54,8/10/2023,Ministry of Home Affairs (CAPF),Drones/UAV,Nagaland,10,Standard
IND-CTR-2025-1677,Sika Interplant,134.18,8/10/2023,Ministry of Defence (MoD),Ammunition,Tripura,10,Standard
IND-CTR-2025-1800,Bharat Dynamics Limited (BDL),17.2,8/10/2023,DRDO,IT Services,Tamil Nadu,13,Small
IND-CTR-2024-0995,DRDO - LRDE,288.21,9/10/2023,Indian Coast Guard,Communications,Goa,20,Standard
IND-CTR-2024-1986,DRDO - RCI,74.28,9/10/2023,Ministry of Defence (MoD),Communications,Andhra Pradesh,17,Standard
IND-CTR-2025-0864,Hindustan Aeronautics Limited (HAL),296.54,9/10/2023,Indian Air Force,Electronics,Assam,18,Standard
IND-CTR-2025-1367,Suryadipta Projects,330.59,9/10/2023,Ministry of Home Affairs (CAPF),Artillery,Delhi,39,Standard
IND-CTR-2024-0496,Paras Defence & Space Technologies,2542.89,10/10/2023,Ministry of Defence (MoD),Aircraft,Karnataka,65,Major
IND-CTR-2024-0604,Tata Power SED,236.31,10/10/2023,Indian Navy,Artillery,Jammu & Kashmir,25,Standard
IND-CTR-2023-1032,Centum Electronics,33.04,11/10/2023,Indian Coast Guard,Drones/UAV,Nagaland,14,Small
IND-CTR-2023-1259,Paras Defence & Space Technologies,396.73,11/10/2023,Indian Navy,Vehicles,Odisha,19,Standard
IND-CTR-2024-0473,Garden Reach Shipbuilders & Engineers,135.06,11/10/2023,Indian Army,Ammunition,Punjab,12,Standard
IND-CTR-2024-0585,DRDO - LRDE,97.49,11/10/2023,ISRO,Electronics,Chhattisgarh,11,Standard
IND-CTR-2025-0817,Bharat Electronics Limited (BEL),704.06,11/10/2023,Indian Coast Guard,Naval Ships,Odisha,66,Major
IND-CTR-2024-1837,Tata Advanced Systems,274.62,12/10/2023,Indian Army,Radars,Tamil Nadu,42,Standard
IND-CTR-2025-0320,IdeaForge,98.31,12/10/2023,Indian Coast Guard,Communications,Himachal Pradesh,26,Standard
IND-CTR-2025-1067,DRDO - LRDE,83.53,12/10/2023,Indian Coast Guard,Communications,Himachal Pradesh,14,Standard
IND-CTR-2025-1782,Suryadipta Projects,52.76,12/10/2023,Ministry of Home Affairs (CAPF),Vehicles,Assam,23,Standard
IND-CTR-2023-1104,Hindustan Aeronautics Limited (HAL),81.02,14/10/2023,Ministry of Defence (MoD),IT Services,West Bengal,16,Standard
IND-CTR-2024-1768,Bharat Forge Defence,1200,14/10/2023,Ministry of Home Affairs (CAPF),Radars,Manipur,32,Major
IND-CTR-2025-1921,Bharat Dynamics Limited (BDL),40.27,14/10/2023,ISRO,Electronics,Chhattisgarh,17,Small
IND-CTR-2023-0421,Kalyani Strategic Systems,1195.54,15/10/2023,Indian Navy,Submarines,Tripura,70,Major
IND-CTR-2023-1619,Tata Power SED,241.27,15/10/2023,Indian Air Force,Missiles,Chhattisgarh,35,Standard
IND-CTR-2025-0236,Bharat Heavy Electricals Limited (BHEL),48.45,15/10/2023,Ministry of Home Affairs (CAPF),Training & Simulation,Assam,14,Small
IND-CTR-2025-1073,Alpha Design Technologies,771.28,15/10/2023,ISRO,Satellites,Mizoram,56,Major
IND-CTR-2024-0089,Ordnance Factory Board,10,16/10/2023,Ministry of Defence (MoD),Electronics,Nagaland,18,Small
IND-CTR-2025-1856,Cochin Shipyard Limited,9.98,16/10/2023,Ministry of Defence (MoD),Maintenance & MRO,Punjab,21,Small
IND-CTR-2023-0605,Hindustan Aeronautics Limited (HAL),17.78,18/10/2023,Indian Air Force,Communications,Haryana,17,Small
IND-CTR-2024-0191,Cochin Shipyard Limited,58.22,18/10/2023,Ministry of Defence (MoD),Cybersecurity,Bihar,10,Standard
IND-CTR-2023-0206,Godrej Aerospace,1369.27,19/10/2023,Indian Air Force,Aircraft,Delhi,51,Major
IND-CTR-2023-1524,Suryadipta Projects,48.04,19/10/2023,Indian Navy,Electronics,Telangana,15,Small
IND-CTR-2025-0668,IdeaForge,58.39,19/10/2023,Indian Coast Guard,IT Services,Odisha,26,Standard
IND-CTR-2025-1695,NewSpace Research & Technologies,277.36,19/10/2023,DRDO,Radars,Tamil Nadu,39,Standard
IND-CTR-2023-0547,Avantel,1904.12,21/10/2023,Indian Navy,Helicopters,Andhra Pradesh,45,Major
IND-CTR-2025-1185,DRDO - RCI,705.16,21/10/2023,Indian Coast Guard,Satellites,Telangana,42,Major
IND-CTR-2024-0677,Mazagon Dock Shipbuilders,14.23,22/10/2023,ISRO,Drones/UAV,Ladakh,13,Small
IND-CTR-2024-1896,NewSpace Research & Technologies,225.86,22/10/2023,Ministry of Defence (MoD),Satellites,Karnataka,52,Standard
IND-CTR-2023-0212,Walchandnagar Industries,2534.27,23/10/2023,Ministry of Home Affairs (CAPF),Helicopters,Goa,46,Major
IND-CTR-2024-0255,Walchandnagar Industries,167.91,23/10/2023,Indian Air Force,Artillery,Arunachal Pradesh,30,Standard
IND-CTR-2023-1892,Mahindra Defence Systems,89.06,24/10/2023,Indian Air Force,Vehicles,Jammu & Kashmir,35,Standard
IND-CTR-2025-1214,Data Patterns,589.46,25/10/2023,Indian Army,Space Systems,Arunachal Pradesh,47,Major
IND-CTR-2025-1266,Avantel,80.64,25/10/2023,Indian Army,Vehicles,Madhya Pradesh,19,Standard
IND-CTR-2025-1823,DRDO - LRDE,40.53,26/10/2023,Indian Navy,Drones/UAV,Goa,21,Small
IND-CTR-2024-0646,Bharat Electronics Limited (BEL),85.51,27/10/2023,ISRO,Communications,West Bengal,23,Standard
IND-CTR-2025-0180,Cochin Shipyard Limited,246.07,27/10/2023,Indian Navy,Vehicles,Goa,18,Standard
IND-CTR-2023-0727,Aequs Aerospace,176.33,28/10/2023,Indian Navy,Electronics,Odisha,16,Standard
IND-CTR-2024-0613,Bharat Heavy Electricals Limited (BHEL),564.51,28/10/2023,Indian Navy,Aircraft,Arunachal Pradesh,51,Major
IND-CTR-2025-1318,Mahindra Defence Systems,733.86,28/10/2023,Indian Coast Guard,Helicopters,Haryana,33,Major
IND-CTR-2024-0064,DRDO - ADE,223.94,29/10/2023,Ministry of Home Affairs (CAPF),Vehicles,Assam,32,Standard
IND-CTR-2025-1589,Alpha Design Technologies,35.28,29/10/2023,DRDO,Communications,Manipur,23,Small
IND-CTR-2024-0163,Electronics Corporation of India Limited (ECIL),44.66,30/10/2023,Indian Army,IT Services,Tamil Nadu,17,Small
IND-CTR-2023-0829,Mazagon Dock Shipbuilders,172.19,31/10/2023,DRDO,Artillery,Madhya Pradesh,28,Standard
IND-CTR-2023-0226,Hindustan Shipyard Limited,420.09,1/11/2023,Indian Navy,Radars,Uttar Pradesh,21,Standard
IND-CTR-2024-0394,Bharat Dynamics Limited (BDL),1200,1/11/2023,ISRO,Radars,Maharashtra,32,Major
IND-CTR-2025-0539,Bharat Electronics Limited (BEL),32.36,1/11/2023,Ministry of Defence (MoD),Electronics,Mizoram,18,Small
IND-CTR-2023-0316,Tonbo Imaging,169.7,2/11/2023,DRDO,IT Services,Jammu & Kashmir,34,Standard
IND-CTR-2025-1409,Hindustan Shipyard Limited,16.69,2/11/2023,Indian Coast Guard,Ammunition,West Bengal,7,Small
IND-CTR-2024-0328,Bharat Dynamics Limited (BDL),291.13,5/11/2023,DRDO,Satellites,Delhi,35,Standard
IND-CTR-2023-1865,Tata Power SED,6472.24,6/11/2023,Indian Army,Naval Ships,Rajasthan,83,Major
IND-CTR-2024-1186,DRDO - LRDE,91.29,6/11/2023,Ministry of Defence (MoD),Maintenance & MRO,Nagaland,9,Standard
IND-CTR-2024-0277,Hindustan Aeronautics Limited (HAL),372.17,7/11/2023,Indian Air Force,Satellites,Haryana,44,Standard
IND-CTR-2024-0429,Ananth Technologies,421.42,7/11/2023,Indian Air Force,Engines,Andhra Pradesh,28,Standard
IND-CTR-2025-1998,Samtel Avionics,59.78,8/11/2023,Indian Navy,Cybersecurity,Maharashtra,15,Standard
IND-CTR-2023-0538,Bharat Heavy Electricals Limited (BHEL),661.59,10/11/2023,ISRO,Helicopters,Uttarakhand,55,Major
IND-CTR-2024-0004,Bharat Dynamics Limited (BDL),422.7,10/11/2023,Indian Army,Artillery,Tamil Nadu,31,Standard
IND-CTR-2024-0865,DRDO - LRDE,115.16,10/11/2023,Indian Air Force,Electronics,Arunachal Pradesh,18,Standard
IND-CTR-2024-1475,Avantel,18.55,10/11/2023,Ministry of Defence (MoD),Cybersecurity,Goa,15,Small
IND-CTR-2025-0572,IdeaForge,910.4,10/11/2023,Indian Air Force,Radars,Punjab,33,Major
IND-CTR-2025-1290,Garden Reach Shipbuilders & Engineers,686.36,10/11/2023,Indian Navy,Helicopters,Mizoram,39,Major
IND-CTR-2025-1767,Samtel Avionics,80.91,10/11/2023,DRDO,Electronics,Nagaland,12,Standard
IND-CTR-2024-0969,Paras Defence & Space Technologies,141.72,11/11/2023,Indian Air Force,Vehicles,Uttar Pradesh,19,Standard
IND-CTR-2024-1723,Mazagon Dock Shipbuilders,20.97,11/11/2023,Indian Navy,IT Services,Punjab,30,Small
IND-CTR-2025-1171,Kalyani Strategic Systems,1621.12,11/11/2023,Indian Navy,Aircraft,Manipur,26,Major
IND-CTR-2025-1421,Mazagon Dock Shipbuilders,3020.11,11/11/2023,ISRO,Missiles,Telangana,40,Major
IND-CTR-2023-0863,Bharat Forge Defence,264.77,13/11/2023,Indian Navy,Artillery,Chhattisgarh,28,Standard
IND-CTR-2023-1123,Tata Advanced Systems,6127.72,13/11/2023,Indian Army,Aircraft,Karnataka,70,Major
IND-CTR-2024-0769,Adani Defence & Aerospace,15.25,13/11/2023,Ministry of Home Affairs (CAPF),Training & Simulation,Rajasthan,11,Small
IND-CTR-2025-1813,Alpha Design Technologies,86.29,13/11/2023,DRDO,Artillery,West Bengal,30,Standard
IND-CTR-2024-0346,Saraswat Defence,3983.06,14/11/2023,Indian Navy,Aircraft,Assam,54,Major
IND-CTR-2025-0188,Tata Power SED,43.6,14/11/2023,Ministry of Defence (MoD),Ammunition,Haryana,13,Small
IND-CTR-2025-0265,Saraswat Defence,24.61,14/11/2023,Indian Air Force,Ammunition,Manipur,16,Small
IND-CTR-2025-1302,Tata Power SED,299.74,14/11/2023,DRDO,Radars,Karnataka,38,Standard
IND-CTR-2023-0173,Cochin Shipyard Limited,55.87,16/11/2023,Indian Air Force,Drones/UAV,Jharkhand,14,Standard
IND-CTR-2024-0480,DRDO - ADE,215.57,16/11/2023,Indian Air Force,Helicopters,Tamil Nadu,34,Standard
IND-CTR-2023-0679,Hindustan Shipyard Limited,572.25,17/11/2023,Indian Coast Guard,Space Systems,Andhra Pradesh,37,Major
IND-CTR-2024-1780,Mahindra Defence Systems,97.76,17/11/2023,Ministry of Defence (MoD),Communications,Ladakh,15,Standard
IND-CTR-2025-1430,Sika Interplant,1000,17/11/2023,Ministry of Defence (MoD),Submarines,Mizoram,66,Major
IND-CTR-2023-0676,Astra Microwave,127.41,18/11/2023,Indian Air Force,Radars,Tripura,23,Standard
IND-CTR-2024-1420,Astra Microwave,23.05,18/11/2023,Ministry of Home Affairs (CAPF),IT Services,Madhya Pradesh,30,Small
IND-CTR-2023-0662,Garden Reach Shipbuilders & Engineers,107.41,19/11/2023,Indian Navy,Vehicles,Uttarakhand,22,Standard
IND-CTR-2025-0066,Tata Advanced Systems,101.98,19/11/2023,Indian Army,Communications,Himachal Pradesh,14,Standard
IND-CTR-2023-1454,Kalyani Strategic Systems,6636.79,20/11/2023,Ministry of Home Affairs (CAPF),Naval Ships,Kerala,72,Major
IND-CTR-2024-1742,Garden Reach Shipbuilders & Engineers,780.21,20/11/2023,DRDO,Aircraft,Delhi,36,Major
IND-CTR-2023-0092,Hindustan Shipyard Limited,11.93,21/11/2023,Indian Navy,Maintenance & MRO,Mizoram,16,Small
IND-CTR-2025-0593,Sika Interplant,57.93,21/11/2023,DRDO,Communications,Jharkhand,15,Standard
IND-CTR-2023-0813,DRDO - RCI,82.34,22/11/2023,ISRO,Maintenance & MRO,Ladakh,12,Standard
IND-CTR-2023-1506,Saraswat Defence,315.17,22/11/2023,ISRO,Artillery,Sikkim,37,Standard
IND-CTR-2024-0398,Bharat Electronics Limited (BEL),1025.53,22/11/2023,DRDO,Helicopters,Uttar Pradesh,43,Major
IND-CTR-2024-0768,Garden Reach Shipbuilders & Engineers,26.23,22/11/2023,ISRO,IT Services,Jammu & Kashmir,10,Small
IND-CTR-2024-1443,Suryadipta Projects,45.31,23/11/2023,Indian Navy,Maintenance & MRO,Telangana,16,Small
IND-CTR-2025-0224,VEM Technologies,26.1,23/11/2023,Indian Army,Electronics,Uttarakhand,19,Small
IND-CTR-2025-0667,Bharat Heavy Electricals Limited (BHEL),587.06,23/11/2023,DRDO,Engines,Bihar,13,Major
IND-CTR-2025-1165,Ordnance Factory Board,1696.78,23/11/2023,Ministry of Defence (MoD),Satellites,Manipur,33,Major
IND-CTR-2024-1887,Paras Defence & Space Technologies,56.61,24/11/2023,ISRO,Communications,Maharashtra,17,Standard
IND-CTR-2025-1122,Hindustan Shipyard Limited,11.55,24/11/2023,Indian Army,Training & Simulation,Uttarakhand,12,Small
IND-CTR-2025-1558,BEML Limited,446.23,24/11/2023,Indian Air Force,Helicopters,Karnataka,41,Standard
IND-CTR-2024-1606,Ananth Technologies,203.35,26/11/2023,DRDO,Vehicles,Assam,29,Standard
IND-CTR-2023-1578,Cochin Shipyard Limited,1077.91,29/11/2023,Indian Air Force,Satellites,Manipur,45,Major
IND-CTR-2024-1990,Hindustan Aeronautics Limited (HAL),74.9,29/11/2023,Ministry of Home Affairs (CAPF),Drones/UAV,Kerala,19,Standard
IND-CTR-2023-1317,Ordnance Factory Board,481.49,30/11/2023,DRDO,Missiles,Uttarakhand,36,Standard
IND-CTR-2025-1052,Taneja Aerospace,94.15,30/11/2023,Indian Navy,IT Services,Delhi,13,Standard
IND-CTR-2023-0359,IdeaForge,135.85,1/12/2023,ISRO,IT Services,Andhra Pradesh,28,Standard
IND-CTR-2023-0876,Sika Interplant,2297.97,1/12/2023,Indian Navy,Naval Ships,Chhattisgarh,53,Major
IND-CTR-2023-0303,Ananth Technologies,35.87,2/12/2023,DRDO,Cybersecurity,Rajasthan,16,Small
IND-CTR-2023-1460,Walchandnagar Industries,4000,2/12/2023,DRDO,Helicopters,Delhi,38,Major
IND-CTR-2025-1959,Suryadipta Projects,126.01,2/12/2023,Ministry of Defence (MoD),Vehicles,Assam,34,Standard
IND-CTR-2023-0967,Cochin Shipyard Limited,243.42,3/12/2023,Indian Coast Guard,Artillery,West Bengal,25,Standard
IND-CTR-2024-0681,Larsen & Toubro Defence,63.84,3/12/2023,Indian Coast Guard,Vehicles,Karnataka,26,Standard
IND-CTR-2025-1323,Saraswat Defence,12.81,3/12/2023,Indian Army,IT Services,Mizoram,26,Small
IND-CTR-2024-1364,Aequs Aerospace,37.8,5/12/2023,Ministry of Home Affairs (CAPF),IT Services,Goa,16,Small
IND-CTR-2025-0790,Cochin Shipyard Limited,1500,5/12/2023,Indian Air Force,Engines,Madhya Pradesh,26,Major
IND-CTR-2025-0911,Bharat Dynamics Limited (BDL),17.42,5/12/2023,ISRO,Ammunition,Tamil Nadu,12,Small
IND-CTR-2024-1954,Taneja Aerospace,29.13,7/12/2023,Ministry of Defence (MoD),IT Services,Sikkim,15,Small
IND-CTR-2025-0645,Mazagon Dock Shipbuilders,2247.5,7/12/2023,Ministry of Defence (MoD),Submarines,Jammu & Kashmir,73,Major
IND-CTR-2023-0115,Alpha Design Technologies,127.96,8/12/2023,DRDO,Communications,Himachal Pradesh,23,Standard
IND-CTR-2023-1256,Samtel Avionics,5.89,8/12/2023,Indian Navy,Maintenance & MRO,Madhya Pradesh,18,Small
IND-CTR-2024-0770,Bharat Forge Defence,483.17,8/12/2023,ISRO,Satellites,Tripura,52,Standard
IND-CTR-2024-1925,Data Patterns,513.51,8/12/2023,Indian Coast Guard,Space Systems,Himachal Pradesh,31,Major
IND-CTR-2024-0689,Samtel Avionics,83.15,9/12/2023,Ministry of Defence (MoD),IT Services,Madhya Pradesh,20,Standard
IND-CTR-2023-1615,Tata Advanced Systems,23.53,10/12/2023,Indian Air Force,Maintenance & MRO,Uttar Pradesh,21,Small
IND-CTR-2024-1108,Samtel Avionics,26.05,10/12/2023,Indian Army,Training & Simulation,Karnataka,11,Small
IND-CTR-2025-1200,Walchandnagar Industries,120.39,10/12/2023,Indian Coast Guard,Vehicles,Delhi,23,Standard
IND-CTR-2023-1201,VEM Technologies,849.32,11/12/2023,Ministry of Home Affairs (CAPF),Space Systems,Jammu & Kashmir,32,Major
IND-CTR-2023-1829,Garden Reach Shipbuilders & Engineers,321.45,11/12/2023,Ministry of Home Affairs (CAPF),Helicopters,Meghalaya,53,Standard
IND-CTR-2023-0213,Sika Interplant,543.35,12/12/2023,Indian Navy,Space Systems,Manipur,46,Major
IND-CTR-2024-0082,DRDO - LRDE,540.95,12/12/2023,DRDO,Helicopters,Rajasthan,22,Major
IND-CTR-2025-0600,Alpha Design Technologies,2563.87,14/12/2023,Indian Air Force,Missiles,Telangana,31,Major
IND-CTR-2024-0329,Kalyani Strategic Systems,182.16,15/12/2023,Indian Coast Guard,Radars,Manipur,24,Standard
IND-CTR-2025-0175,Hindustan Shipyard Limited,59.96,16/12/2023,DRDO,Ammunition,Uttar Pradesh,9,Standard
IND-CTR-2023-0486,NewSpace Research & Technologies,116.63,17/12/2023,Ministry of Home Affairs (CAPF),Artillery,Telangana,31,Standard
IND-CTR-2024-1893,Sika Interplant,193.33,17/12/2023,Indian Air Force,Radars,Uttar Pradesh,29,Standard
IND-CTR-2023-1377,Taneja Aerospace,11.55,19/12/2023,Indian Navy,IT Services,Madhya Pradesh,11,Small
